Date,Open,High,Low,Close,Adj Close,Volume
2023-04-28,32.419998,33.299999,32.410000,33.040001,32.669083,15510700
2023-05-01,34.000000,34.279999,33.439999,33.480000,33.104141,16892300
2023-05-02,33.200001,33.410000,32.509998,33.080002,32.708633,14527600
2023-05-03,32.759998,33.389999,32.369999,32.480000,32.115372,13494400
2023-05-04,32.299999,32.669998,31.559999,31.690001,31.334234,14807400
2023-05-05,32.320000,33.400002,32.209999,33.259998,32.886608,17183400
2023-05-08,33.389999,33.740002,33.130001,33.660000,33.282120,11267400
2023-05-09,33.320000,33.570000,33.060001,33.279999,32.906387,11841900
2023-05-10,33.869999,33.970001,32.599998,33.080002,32.708633,15418400
2023-05-11,32.849998,33.279999,32.849998,33.119999,32.748180,12319500
2023-05-12,33.250000,33.279999,32.130001,32.400002,32.036266,13026000
2023-05-15,32.389999,32.470001,32.119999,32.369999,32.006599,18841100
2023-05-16,32.060001,32.240002,31.500000,31.540001,31.185923,11069600
2023-05-17,31.809999,32.590000,31.639999,32.439999,32.075813,11269500
2023-05-18,32.279999,32.959999,32.250000,32.900002,32.530655,14241000
2023-05-19,33.119999,33.169998,32.490002,32.660000,32.293346,12598700
2023-05-22,32.709999,32.930000,32.389999,32.860001,32.491100,8866400
2023-05-23,33.000000,33.840000,32.939999,33.419998,33.044815,17717900
2023-05-24,33.000000,33.040001,32.009998,32.279999,31.917610,13357500
2023-05-25,32.160000,32.639999,32.130001,32.410000,32.046154,10492700
2023-05-26,32.619999,33.490002,32.349998,33.290001,32.916275,13656800
2023-05-30,33.700001,34.279999,33.320000,33.360001,32.985485,12671700
2023-05-31,32.950001,33.049999,31.860001,32.410000,32.046154,17934200
2023-06-01,32.490002,33.299999,32.139999,33.020000,32.740219,12466700
2023-06-02,33.660000,34.480000,33.470001,34.279999,33.989544,15308500
2023-06-05,34.450001,34.450001,33.660000,34.130001,33.840820,10067800
2023-06-06,34.000000,35.380001,33.980000,35.240002,34.941414,15596900
2023-06-07,35.389999,36.459999,35.230000,36.220001,35.913109,23167200
2023-06-08,36.200001,36.439999,35.680000,35.849998,35.546242,16196100
2023-06-09,37.490002,38.169998,36.230000,36.230000,35.923023,24307400
2023-06-12,36.270000,37.020000,36.259998,36.669998,36.359295,14901900
